Query sets,tpc Execution Time (s),tpc_np Execution Time (s)
qset_1.sql,46.936008186,34.112185353
qset_2.sql,32.299365951,22.162273727
qset_3.sql,47.788612071,34.316102431
qset_4.sql,34.232976840,23.786190699
qset_5.sql,32.444344210,21.907202960
qset_6.sql,51.871477594,36.858269722
qset_7.sql,44.540471254,31.470001423
qset_8.sql,39.016835228,26.254430667
qset_9.sql,51.693282654,38.382718858
qset_10.sql,52.708985764,38.388140081
qset_11.sql,61.843786251,49.094175455
qset_12.sql,37.595235196,25.903411542
qset_13.sql,32.228575639,21.479539066
qset_14.sql,73.410058241,56.124572734
qset_15.sql,33.534771874,23.046966797
qset_16.sql,51.979675425,36.983925042
qset_17.sql,43.828551654,30.985440594
qset_18.sql,35.510602455,25.545226101
qset_19.sql,46.809299120,33.022345079
qset_20.sql,66.825285394,51.920074163
qset_21.sql,46.539311236,35.098305688
qset_22.sql,64.571343489,47.543666255
qset_23.sql,39.022202250,27.526425510
qset_24.sql,30.260509696,20.875093189
qset_25.sql,69.447912119,51.108057760
qset_26.sql,34.595317144,24.713723543
qset_27.sql,63.075681837,45.264953513
qset_28.sql,71.094012606,57.404430164
qset_29.sql,63.981912888,47.823874605
qset_30.sql,28.896714313,20.057988116
qset_31.sql,63.101638939,45.534256606
qset_32.sql,47.672631103,34.265298420
qset_33.sql,32.486187614,22.586164328
qset_34.sql,61.633360591,45.070115081
qset_35.sql,72.649373504,55.723784880
qset_36.sql,37.489421093,26.711817294
qset_37.sql,44.743869336,31.746137248
qset_38.sql,58.154458565,42.491654481
qset_39.sql,55.949954340,40.494682105
qset_40.sql,30.700561117,21.507712400
